,,"Number of commercial bank branches per 1,000 km2","Number of credit union and credit cooperative branches per 1,000 km2","Number of all microfinance institution branches per 1,000 km2","Number of commercial bank branches per 100,000 adults","Number of credit union and credit cooperative branches per 100,000 adults","Number of all microfinance institution branches per 100,000 adults","Number of ATMs per 1,000 km2","Number of ATMs per 100,000 adults","Mobile money agent outlets: active per 100,000 adults","Mobile money agent outlets: active per 1,000 km2","Number of registered mobile money agent outlets per 100,000 adults","Number of registered mobile money agent outlets per 1,000 km2","Number of non-branch retail agent outlets of commercial banks per 1,000 km2","Number of non-branch retail agent outlets of commercial banks per 100,000 adults","Number of insurance corporations per 100,000 adults","Branches of other deposit takers per 1,000 km2","Branches of other deposit takers per 100,000 adults","Number of depositors with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) depositors with commercial banks (% of non-financial corporation depositors with commercial banks),"Number of household sector depositors with commercial banks per 1,000 adults","Number of male depositors of the household sector with commercial banks per 1,000 male adults","Number of female depositors of the household sector with commercial banks per 1,000 female adults","Number of depositors with credit unions and credit cooperatives per 1,000 adults","Number of deposit accounts with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) deposit accounts with commercial banks (% of non-financial corporation deposit accounts with commercial banks),"Number of household sector deposit accounts with commercial banks per 1,000 adults","Number of men-owned deposit accounts of the household sector with commercial banks per 1,000 male adults","Number of women-owned deposit accounts of the household sector with commercial banks per 1,000 female adults","Number of deposit accounts with credit unions and credit cooperatives per 1,000 adults","Number of borrowers from commercial banks per 1,000 adults",Number of small and medium enterprise (SME) borrowers from commercial banks (% of non-financial corporation borrowers from commercial banks),"Number of household sector borrowers from commercial banks per 1,000 adults","Number of male borrowers of the household sector from commercial banks per 1,000 male adults","Number of female borrowers of the household sector from commercial banks per 1,000 female adults","Number of borrowers from credit unions and credit cooperatives per 1,000 adults","Number of borrowers from all microfinance institutions per 1,000 adults","Number of male borrowers of the household sector from all microfinance institutions per 1,000 male adults","Number of female borrowers of  the household sector from all microfinance institutions per female 1,000 adults","Number of loan accounts with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) loan accounts with commercial banks (% of non-financial corporation loan accounts with commercial banks),"Number of household sector loan accounts with commercial banks per 1,000 adults","Number of men-owned loan accounts of the household sector with commercial banks per 1,000 male adults","Number of women-owned loan accounts of the household sector with commercial banks per 1,000 female adults","Number of loan accounts with credit unions and credit cooperatives per 1,000 adults","Number of loan accounts with all microfinance institutions per 1,000 adults","Number of men-owned loan accounts of the household sector with all microfinance institutions per 1,000 male adults","Number of women-owned loan accounts of the household sector with all microfinance institutions per 1,000 female adults",Outstanding deposits with commercial banks (% of GDP),Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP),Outstanding deposits of household sector with commercial banks (% of GDP),Outstanding deposits with credit unions and credit cooperatives (% of GDP),Outstanding loans from commercial banks (% of GDP),Outstanding small and medium enterprise (SME) loans from commercial banks (% of GDP),Outstanding loans from commercial banks to household sector (% of GDP),Outstanding loans from credit unions and credit cooperatives (% of GDP),Outstanding loans from all microfinance institutions (% of GDP),"Number of registered mobile money accounts per 1,000 adults","Number of active mobile money accounts per 1,000 adults",Outstanding balances on active mobile money accounts (% of GDP),"Number of mobile money transactions (during the reference year) per 1,000 adults",Value of mobile money transactions (during the reference year) (% of GDP),"Number of credit cards per 1,000 adults","Number of debit cards per 1,000 adults","Number of mobile and internet banking transactions (during the reference year) per 1,000 adults",Value of mobile and internet banking transactions (during the reference year) (% of GDP),"Number of life insurance policies per 1,000 adults",Policies with insurance corporations: o/w non-life insurance,Average number of mobile money transactions per active mobile money account
,2013,45.08,,,18.32,,,40.57,16.49,,,,,,,,24.67,10.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.03,,,,32.1,,,,,,,,,,,,,,,,
,2014,45.94,,,18.47,,,42.02,16.89,,,,,,,,26.02,10.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.38,,,,33.33,,,,,,,,,,,,,,,,
,2015,46.87,,,18.63,,,43.28,17.2,,,,,,,,27.19,10.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.36,,,,38.89,,,,,,,,,,,,,,,,
St. Kitts and Nevis,2010,92.31,19.23,,58.55,12.2,,107.69,68.31,,,,,,,39.03,23.08,14.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.16,,46.24,,84.58,,40.38,,,,,,,,,,,,,,
,2011,76.92,23.08,,48.26,14.48,,119.23,74.81,,,,,,,38.61,23.08,14.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.87,,43.55,,63.39,,38.63,,,,,,,,,,,,,,
,2012,80.77,23.08,,50.11,14.32,,123.08,76.36,,,,,,,38.18,23.08,14.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.78,,46.1,,64.73,,38.85,,,,,,,,,,,,,,
,2013,80.77,30.77,,49.57,18.88,,157.69,96.78,,,,,,,37.77,23.08,14.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.21,,46.45,,58.69,,36.69,,,,,,,,,,,,,,
,2014,73.08,30.77,,44.37,18.68,,150,91.08,,,,,,,37.37,23.08,14.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.97,,45.96,,46.31,,33,,,,,,,,,,,,,,
,2015,73.08,30.77,,43.92,18.49,,153.85,92.47,,,,,,,36.99,23.08,13.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.28,,47.99,,44.89,,32.89,,,,,,,,,,,,,,
,2016,69.23,30.77,,41.21,18.31,,150,89.28,,,,,,,34.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.84,,45.46,,43.01,,31.98,,,,,,,,,,,,,,
,2017,61.54,30.77,,36.28,18.14,,150,88.44,,,,,,,34.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.17,,45.61,,42.6,,31.36,,,,,,,,,,,,,,
,2018,61.54,30.77,,37.71,18.86,,153.85,94.28,,,,,,,35.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.41,,45.13,,42.99,,31.57,,,,,,,,,,,,,,
,2019,61.54,30.77,,37.1,18.55,,165.38,99.7,,,,,,,34.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.07,,45.51,,42.91,,30.88,,,,,,,,,,,,,,
St. Lucia,2010,47.54,,,21.7,,,96.72,44.14,,,,,,,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.89,,41.51,,74.51,,32.25,,,,,,,,,,,,,,
,2011,47.54,,,21.29,,,101.64,45.52,,,,,,,19.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.37,,41.4,,71.74,,31.4,,,,,,,,,,,,,,
,2012,47.54,,,20.96,,,104.92,46.26,,,,,,,18.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.43,,41.32,,76.49,,35.91,,,,,,,,,,,,,,
,2013,47.54,,,20.68,,,104.92,45.63,,,,,,,18.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.42,,39.26,,75.63,,34.65,,,,,,,,,,,,,,
,2014,47.54,,,20.42,,,103.28,44.36,,,,,,,18.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.25,,38.66,,69.32,,37.37,,,,,,,,,,,,,,
,2015,45.9,,,19.48,,,103.28,43.83,,,,,,,18.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.09,,38.21,,64.23,,35.99,,,,,,,,,,,,,,
,2016,37.7,,,15.84,,,88.52,37.18,,,,,,,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.33,,36.64,,58.28,,33.21,,,,,,,,,,,,,,
,2017,37.7,,,15.67,,,103.28,42.93,,,,,,,17.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.9,,34.92,,53.25,,34.3,,,,,,,,,,,,,,
,2018,37.7,,,15.52,,,103.28,42.51,,,,,,,17.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.53,,34.75,,50.7,,32.75,,,,,,,,,,,,,,
,2019,40.98,,,16.72,,,104.92,42.81,,,,,,,17.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.31,,34.17,,52.56,,32.48,,,,,,,,,,,,,,
St. Vincent and the Grenadines,2010,43.59,,,21.17,,,53.85,26.16,,,,,,,28.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1,,40.33,,51.64,,32.33,,,,,,,,,,,,,,
,2011,43.59,,,21.07,,,53.85,26.03,,,,,,,28.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.26,,40.81,,52,,34.55,,,,,,,,,,,,,,
,2012,43.59,,,20.93,,,41.03,19.7,,,,,,,29.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1,,41.28,,53.25,,35.44,,,,,,,,,,,,,,
,2013,43.59,,,20.76,,,66.67,31.75,,,,,,,29.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.56,,45.44,,51.98,,39.51,,,,,,,,,,,,,,
,2014,43.59,,,20.59,,,66.67,31.48,,,,,,,29.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,48.54,,51.44,,39.78,,,,,,,,,,,,,,
,2015,43.59,,,20.42,,,71.79,33.63,,,,,,,28.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.53,,48.51,,50.89,,39.75,,,,,,,,,,,,,,
,2016,35.9,,,16.69,,,74.36,34.57,,,,,,,27.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.26,,47.12,,50.29,,40.3,,,,,,,,,,,,,,
,2017,35.9,,,16.54,,,76.92,35.45,,,,,,,27.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.42,,47.15,,49.14,,40.87,,,,,,,,,,,,,,
,2018,35.9,,,16.4,,,76.92,35.14,,,,,,,26.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.53,,46.42,,48.17,,40.85,,,,,,,,,,,,,,
,2019,35.9,,,16.27,,,76.92,34.87,,,,,,,26.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.05,,45.93,,48.04,,40.32,,,,,,,,,,,,,,
Sudan,2010,0.24,,,2.92,,,0.29,3.46,,,,,,,0.08,0.05,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.53,,,,10.6,1.09,,,,,,,,,,37.39,,,,,
,2011,0.33,,,3.02,,,0.4,3.68,,,,,,,0.07,0.07,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.49,,,,10.09,1.63,,,,,,,,,,58.8,,,,,
,2012,0.34,,,3.06,,,0.46,4.08,,,,,,,0.07,0.07,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.57,,,,10.1,1.85,,,,,,,,,,10.26,,,,,
,2013,0.36,,,3.16,,,0.49,4.22,,,,,,,0.07,0.07,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.38,,,,9.31,1.51,,,,,,,,,,84.06,,,,,
,2014,0.38,,0.11,3.2,,0.9,0.52,4.39,,,,,0.05,0.4,0.07,0.07,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,2.28,,7,,1.21,,,,,,,,,104.39,,,,,
,2015,0.41,,0.12,3.32,,1.02,0.58,4.72,0.57,0.07,5.85,0.72,0.05,0.43,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.73,,2.46,,6.85,,0.97,,107.1,19.48,2.58,,0,0.01,,124.32,,,,,0
,2016,0.41,,0.13,3.26,,1.04,0.64,5.08,22.1,2.78,24.26,3.05,0.03,0.23,0.06,,,,,,,,,,,,,,,,,,,,,31.09,,,,,,,,,,,,11.94,,3.19,,8.58,,1.54,,111.75,45.78,28.75,,192.75,0.02,,135.99,,,,,6.71
,2017,0.43,,0.14,3.32,,1.06,0.7,5.39,30.82,4,34.43,4.46,0.03,0.27,0.06,,,,,,,,,,,,,,,,,,,,,30.31,,,,,,,,,,,,15.14,,4.5,,9.85,,1.66,,90.88,91.81,49.82,,405.48,0.08,,144.49,,,,,8.14
,2018,0.45,,0.14,3.37,,1.04,0.86,6.42,60.21,8.04,66.99,8.95,0.04,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.75,,6.88,,12.79,,2.34,,104.22,225.05,184.99,0.04,260.67,0.21,,159.32,,,,,1.41
Suriname,2010,0.27,0.19,,11.24,7.76,,0.85,35.6,,,,,,,3.21,0.01,0.27,,,,,,25.77,,,,,,46.34,,,,,,6.56,,,,,,,,,8.17,,,,41.51,,,0.16,23.82,,,0.14,,,,,,,,,,,126.83,,
,2011,0.27,0.17,,11.06,7.11,,0.9,36.87,,,,,,,3.16,0.01,0.26,,,,,,26.35,,,,,,47.43,,,,,,6.79,,,,,,,,,8.2,,,,41.97,,,0.15,23.57,,,0.12,,,,,,,,,,,127.05,,
,2012,0.27,0.17,,10.89,6.74,,1.03,41.75,,,,,,,3.11,0.01,0.26,,,,,,30.69,,,,,,48.75,,,,,,6.42,,,,,,,,,7.72,,,,44.67,,,0.15,23.88,,,0.11,,,,,,,,,,,123.85,,
,2013,0.31,0.17,,12.26,6.64,,1.07,42.66,,,,,,,3.07,0.01,0.26,,,,,,31.42,,,,,,50.22,,,,,,6.54,,,,,,,,,7.77,,,,50.28,,,0.16,27.48,,,0.13,,,,,,,,,,,118.28,,
,2014,0.31,0.17,,12.33,6.54,,1.2,47.07,,,,,,,3.02,0.01,0.5,,,,,,27.76,,,,,,50.37,,,,,,6.5,,,,,,,,,7.89,,,,52.68,,,0.18,29.37,,,0.13,,,,,,,,,,,131.41,"481,932.00",
,2015,0.28,0.15,,10.92,5.95,,1.22,47.13,,,,,,,2.98,0.01,0.5,"1,082.66",,,,,32.86,"1,472.31",,,,,52.88,187.13,,,,,6.43,,,,210.91,,,,,7.17,,,,61.84,,,0.2,35.49,,,0.15,,,,,,,,,,,141.76,"321,042.00",
,2016,0.29,0.15,,11.26,5.87,,1.3,49.69,,,,,,,2.94,0.01,0.49,"1,255.55",,,,,35.4,"1,695.64",,,,,53.37,181.28,,,,,6.02,,,,208.38,,,,,6.02,,,,81.4,,,0.19,39.09,,,0.13,,,,,,,,,,,146.01,"308,764.00",
,2017,0.31,0.15,,11.59,5.8,,1.35,50.97,,,,,,,2.9,0,0,"1,153.09",,,,,32.8,"1,624.84",,,,,54.25,194.25,,,,,5.89,,,,219.89,,,,,6.06,,,,72.46,,,0.17,33.17,,,0.12,,,,,,,,,,,145.64,"395,856.00",
,2018,0.31,0.15,,11.68,5.72,,1.29,48.15,,,,,,,2.86,0,0,"1,310.08",,,,,39.13,"1,763.03",,,,,50.28,197.9,,,,,4.55,,,,220.88,,,,,5.28,,,,74.56,,,0.17,29.68,,,0.11,,,,,,,,,,,142.31,"400,006.00",
,2019,0.31,0.15,,11.53,5.65,,1.33,48.72,,,,,,,2.82,0,0,"1,477.42",,,,,,"1,872.20",,,,,,197.86,,,,,,,,,214.46,,,,,,,,,66.69,,,,29.04,,,,,,,,,,,,,,188.24,"369,791.00",
Sweden,2010,4.29,0.01,,22.5,0.05,,8.17,42.8,,,,,,,4.28,0.44,2.32,,,,,,,"3,772.39",,,,,,,,,,,,,,,,,,,,,,,,44.39,,27.5,0.04,49.28,,20.84,0.03,,,,,,,"1,218.26","1,041.51","87,611.84",316.63,,,
,2011,4.17,0.01,,21.7,0.05,,8.69,45.2,,,,,,,3.89,0.44,2.28,,,,,,,"3,856.06",,,,,,,,,,,,,,,,,,,,,,,,45.72,,28.64,0.04,50.76,,21.23,0.03,,,,,,,"1,289.80","1,097.38","95,831.90",333.43,,,
,2012,4.25,0.01,,21.81,0.05,,8.39,43.04,,,,,,,3.57,0.43,2.19,,,,,,,"3,982.85",,,,,,,,,,,,,,,,,,,,,,,,48.73,,30.89,0.04,53.47,,23.77,0.03,,,,,,,"1,270.49","1,116.01","99,416.44",359.89,,,
,2013,4.22,0.01,,21.54,0.05,,7.95,40.55,,,,,,,3.39,0.41,2.09,,,,,,,"4,084.05",,,,,,,,,,,,,,,,,,,,,,,,49.94,,31.95,0.05,52.74,,24.07,0.03,,,,,,,"1,320.22","1,126.69","103,588.16",366.86,,,
,2014,4.17,0.01,,21.11,0.05,,7.93,40.19,,,,,,,3.22,0.36,1.8,,,,,,,"4,243.32",,,,,,,,,,,,,,,,,,,,,,,,50.82,,32.68,0.05,53.44,,24.41,0.03,,,,,,,"1,253.36","1,185.20","110,448.10",366.34,,,
,2015,3.84,0.01,,19.32,0.05,,8.07,40.53,,,,,,,3.06,0.36,1.79,,,,,,,"4,222.75",,,,,,,,,,,,,,,,,,,,,,,,51.98,,33.58,0.05,52.55,,25.13,0.03,,,,,,,"1,443.80","1,286.91","125,362.68",300.78,,,
,2016,3.53,0.01,,17.54,0.05,,7,34.77,,,,,,,3,0.35,1.76,,,,,,,"4,083.04",,,,,,,,,,,,,,,,,,,,,,,,54.69,,35.1,0.05,52.5,,25.32,0.03,,,,,,,"1,169.00","1,289.24","151,751.25",325.74,,,
,2017,3.29,0.01,,16.17,0.05,,6.52,32,,,,,,,2.84,0.34,1.65,,,,,,,"4,156.96",,,,,,,,,,,,,,,,,,,,,,,,56.11,,36.09,0.05,51.78,,24.53,0.04,,,,,,,"1,061.20","1,200.89","151,601.21",342.08,,,
,2018,3.07,0.01,,14.91,0.05,,6.56,31.86,,,,,,,2.77,0.33,1.62,,,,,,,"4,237.33",,,,,,,,,,,,,,,,,,,,,,,,57.43,,37.05,0.05,51.64,,23.99,0.04,,,,,,,905.03,"1,320.18","170,040.65",365.24,,,
,2019,3.41,0.01,,16.41,0.05,,6.16,29.6,,,,,,,2.61,0.33,1.58,,,,,,,"4,313.55",,,,,,,,,,,,,,,,,,,,,,,,59.61,,37.41,0.05,51.49,16.1,24.39,0.03,,,,,,,868.14,"1,262.33","171,275.59",354.4,,,
Switzerland,2010,87.08,,,51.77,,,161.45,95.99,,,,,87.1,51.79,3.85,58.74,34.92,,,,,,,"2,942.29",,,,,,,,,,,,,,,,,,,,,,,,133.28,,75.05,,151.22,41.65,94.68,,,,,,,,772.53,"1,238.48",,,,,
,2011,85.56,,,50.25,,,168.51,98.96,,,,,85.59,50.26,3.51,57.65,33.85,,,,,,,"2,998.13",,,,,,,,,,,,,,,,,,,,,,,,134.51,,77.1,,153.54,41.85,97.29,,,,,,,,817.61,"1,271.94",,,,,
,2012,84.22,,,48.88,,,171.04,99.28,,,,,84.27,48.91,3.41,57.04,33.11,,,,,,,"2,981.57",,,,,,,,,,,,,,,,,,,,,,,,144.05,,82.88,,159.68,44.33,101.29,,,,,,,,846.98,"1,302.17","58,136.47",218.28,,,
,2013,82.75,,,47.45,,,172.59,98.96,,,,,82.78,47.46,3.38,,,,,,,,,"3,214.53",,,,,,,,,,,,,,,,,,,,,,,,164.33,,94.32,,163.81,46,102.78,,,,,,,,891.93,"1,321.78","61,400.37",221.76,,,
,2014,81.28,,,46.03,,,172.41,97.64,,,,,81.31,46.05,3.35,,,,,,,,,"3,249.97",,,,,,,,,,,,,,,,,,,,,,,,167.93,,96.67,,165.07,44.66,104.57,,,,,,,,861.01,"1,405.76","63,869.56",218.53,,,
,2015,79.21,,,44.35,,,176.28,98.71,,,,,79.23,44.37,3.2,,,,,,,,,"2,977.24",,,,,,,,,,,,,,,,,,,,,,,,167.34,,98.73,,165.56,44.28,106.65,,,,,,,,877.41,"1,425.77","66,316.42",226.71,,,
,2016,76.63,,,42.46,,,177.62,98.42,,,,,76.65,42.47,3.1,,,,,,,,,"2,590.09",,,,,,,,,,,,,,,,,,,,,,,,171.69,,102.59,,168.48,44.64,108.25,,,,,,,,889.87,"1,470.69","68,584.09",227.49,,,
,2017,74.35,,,40.83,,,178.31,97.93,,,,,74.37,40.85,2.97,,,,,,,,,"2,536.01",,,,,,,,,,,,,,,,,,,,,,,,178.24,,105.38,,170.1,44.5,109.61,,,,,,,,914.37,"1,460.22","71,965.30",229.84,,,
,2018,72.45,,,39.52,,,181.88,99.2,,,,,72.48,39.53,2.79,,,,,,,,,"2,404.92",,,,,,,,,,,,,,,,,,,,,,,,177.28,,104.52,,171.61,44.99,109.47,,,,,,,,954.38,"1,468.89","74,536.00",229.42,,,
,2019,70.81,,,38.36,,,179.32,97.15,,,,,70.83,38.38,2.82,,,,,,,,,"2,228.06",,,,,,,,,,,,,,,,,,,,,,,,178.58,,105.04,,174.69,46.47,110.8,,,,,,,,989.66,"1,480.59","80,126.15",240,,,
Syria,2010,2.81,,,3.86,,,5.48,7.53,,,,,,,0.1,,,205.84,,,,,,235.94,,,,,,85.38,,,,,,,,,69.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,2.97,,,4.1,,,5.71,7.87,,,,,,,,,,208.8,,,,,,241.35,,,,,,66.47,,,,,,,,,66.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,3.03,,,4.25,,,5.85,8.22,,,,,,,,,,207.64,,,,,,236.79,,,,,,57.19,,,,,,,,,58.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,3.04,,,4.39,,,,,,,,,,,,,,212,,,,,,240.66,,,,,,50.12,,,,,,,,,51.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,2010,2.41,,,6.98,,,1.57,4.54,,,,,,,0.33,,,370.3,,275.84,,,0.04,,,,,,,18.76,,17.6,,,0.06,30.61,,,,,,,,,,,,11.51,,5.75,0.01,13.28,,3.91,0.04,1.76,,,,,,,,,,,,
,2011,6.29,,,17.76,,,2.38,6.72,,,,,,,0.28,,,415.26,,328.69,,,0,,,,,,,21.8,,20.71,,,0,37.95,,,,,,,,,,,,11.81,,7.29,0.01,13.83,,3.81,0.03,2.09,,,,,,,,,,,,
,2012,6.91,,,19.05,,,3.07,8.45,,,,,,,0.33,,,558.57,,493.74,,,0,,,,,,,26.13,,24.94,,,0,45.84,,,,,,,,,,,,11.05,,7.72,0.01,12.38,,3.61,0.03,2.59,,,,,,,,,,,,
,2013,8.28,,,22.31,,,3.92,10.55,,,,,,,0.33,,,711.87,,644.31,,,,,,,,,,34.88,,33.48,,,,54.02,,,,,,,,,,,,10.03,,8.78,,15.29,,5.01,,3.42,,,,,,,,,,,,
,2014,9.04,,,23.62,,,,,,,,,,,0.34,,,998.57,,921.63,,,,,,,,,,46.04,,44.67,,,,,,,,,,,,,,,,,,,,17.53,,2.2,,,,,,,,,,,,,,
,2015,9.97,,,25.52,,,,,,,,,,,0.35,,,"1,209.29",,"1,125.61",,,,,,,,,,36.91,,36.24,,,,,,,,,,,,,,,,,,,,19.31,,2.06,,,,,,,,,,,,,,
,2016,11.01,,,27.61,,,,,,,,,,,0.38,,,"1,053.82",,939.48,,,,,,,,,,32.07,,31.71,,,,,,,,,,,,,,,,,,,,15.11,,1.6,,,,,,,,,,,,,,
,2017,9.79,,,24.08,,,,,,,,,,,0.39,,,791.9,,740.12,,,,,,,,,,33.7,,33.45,,,,,,,,,,,,,,,,,,,,11.3,,1.23,,,,,,,,,,,,,,
,2018,9.49,,,22.89,,,,,,,,,,,0.33,,,804.41,,751.59,,,,,,,,,,40.18,,39.87,,,,,,,,,,,,,,,,,,,,9.73,,1.18,,,,,,,,,,,,,,
Tanzania,2010,0.57,,,2.05,,,1.12,4.07,,,119.02,32.85,,,,,,195.08,,,,,,195.08,,,,,,26.3,,,,,,,,,26.3,,,,,,,,,21.93,,,,13.08,,,,,436.22,,0.07,753.92,2.2,,,,,,,
,2011,0.6,,,2.12,,,1.35,4.76,,,332.88,94.6,,,,,,216.16,,,,,,216.16,,,,,,32.24,,,,,,,,,32.24,,,,,,,,,21.19,,,,13.81,,,,,841.58,,0.18,"5,359.90",10.31,,,,,,,
,2012,0.66,,,2.27,,,1.54,5.25,,,376.35,110.2,,,,,,224.83,,,,,,224.83,,,,,,29.86,,,,,,,,,29.86,,,,,,,,,20.62,,,,14.16,,,,,"1,036.04",303.54,0.31,"21,079.65",27.93,,,,,,,69.45
,2013,0.76,,,2.53,,,1.72,5.71,,,573.58,173.14,0.67,2.21,,,,226.01,,,,,,226.01,,,,,,28.31,,,,,,,,,28.31,,,,,,,,,19.8,,,,14.18,,,,,"1,190.41",412.01,0.4,"37,589.84",39.54,,,,,,,91.24
,2014,0.79,,,2.52,,,1.82,5.84,,,864.45,269.2,1.86,5.99,,,,245.27,,,,,,245.27,,,,,,213.78,,,,,,,,,213.78,,,,,,,,,20.06,,,,14.88,,,,,"1,500.11",502.32,0.55,"44,739.38",49.4,,,,,,,89.07
,2015,0.82,,,2.55,,,2,6.22,,,951.48,305.91,3.72,11.58,,,,272.67,,,,,,272.67,,,,,,27.67,,,,,,,,,27.67,,,,,,,,,20.61,,,,16.16,,,,,"1,890.65",667.37,0.62,"48,732.43",50.02,,,,,,,73.02
,2016,,,,,,,,,,,,,6.41,19.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,2010,11.7,,,11,,,87.04,81.89,,,,,,,0.17,2.93,2.76,"1,071.57",,"1,054.04",,,24.04,"1,426.47",,"1,399.77",,,37.4,230.69,91.79,212.34,,,31.65,,,,281.04,,268.75,,,49.33,,,,60.49,,44.27,4.2,59.79,21.37,24.55,9.07,,,,,,,261.26,614.45,"1,523.82",70.07,335.66,"36,739,480.00",
,2011,12.14,,,11.34,,,93.48,87.31,,,,,,,0.17,2.97,2.77,"1,127.83",,"1,109.08",,,24.45,"1,386.14",,"1,358.72",,,39.95,250.82,92.31,231.38,,,31.45,,,,311.88,,298.35,,,52.05,,,,61.94,,45.08,4.05,65.36,23.6,26.89,10.36,,,,,,,280.23,683.08,"1,876.48",74.41,356.49,"41,792,490.00",
,2012,12.61,,,11.68,,,102.26,94.79,,,,,,,0.16,2.97,2.75,"1,118.58",,"1,099.83",,,37.7,"1,450.44",,"1,421.36",,,44.22,272.83,91.98,252.46,,,32.38,,,,353.62,,338.37,,,52.51,,,,71.38,,49.88,4.21,68.12,24.4,29.59,11.03,,,,,,,306.09,754.86,"2,848.36",102.03,381.31,"47,875,628.00",
,2013,13.14,,,12.09,,,111.28,102.35,,,,,,,0.16,4.48,4.12,"1,149.95",,"1,129.72",,,39.71,"1,480.14",,"1,449.24",,,47.39,294.36,92.83,271.97,,,34.29,,,,384.94,,368.61,,,54.38,,,,74.05,,50.74,4.38,72.36,26.83,32.34,11.77,,,,,,,333.95,781.65,"3,839.11",127.51,403.33,"52,063,826.00",
,2014,13.71,,,12.52,,,125.11,114.21,,,,,,,0.15,4.78,4.37,"1,171.48",,"1,150.72",,,44.05,"1,503.48",,"1,471.58",,,52.72,307.87,92.89,285.41,,,35.56,,,,413.44,,395.78,,,58.63,,,,75.43,,50.34,4.9,73.29,27.69,33.62,12.47,,,,,,,362.8,821.86,"5,189.51",124.16,438.41,"54,583,494.00",
,2015,13.82,,,12.53,,,129.49,117.37,,,1.81,2,,,0.15,4.78,4.34,"1,188.67",,"1,166.74",,,47.59,"1,525.15",,"1,490.64",,,55.97,316.89,93.07,294.05,,,37.16,,,,425.88,,407.24,,,59.18,,,,76.18,,49.58,5.38,74.37,28.19,34.54,13.02,,245.17,,0,"10,033.92",0.23,336.64,899.31,"7,785.93",137.16,432.25,"54,708,598.00",
